customer_id,aircraft_id,route_id,depart,arrival,seat_num,class_id,travel_date,flight_num
18,767-301ER,1,EWR,HNL,13FC,First Class,2018-04-01,1111
2,767-301ER,4,JFK,LAX,01E,Economy,2018-09-02,1114
4,767-301ER,4,JFK,LAX,03FC,First Class,2020-04-30,1114
11,767-301ER,4,JFK,LAX,05B,Bussiness,2020-11-09,1114
4,767-301ER,5,LAX,JFX,02FC,First Class,2020-04-06,1115
11,767-301ER,5,LAX,JFX,04B,Bussiness,2020-11-12,1115
46,A321,8,ORD,EWR,12FC,First Class,2011-07-08,1118
1,ERJ142,9,DEN,LAX,01EP,Economy Plus,2019-12-26,1119
29,ERJ142,9,DEN,LAX,11B,Bussiness,2018-05-03,1119
10,A321,10,HNL,DEN,05E,Economy,2020-10-11,1120
